lat,lng,city,state,date,year,month
46.9599336,-84.6871352,Pancake Bay (Canada),ON,2008-10-15T03:00:00.000Z,2008,10
51.266667,-80.6499999,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
50.1785158,-86.713331,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2
48.7738991,-91.6386031,Atikokan (Canada),ON,2010-09-28T22:00:00.000Z,2010,9
48.7162203,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6
48.42759375,-89.2994614781394,"Thunderbay, Ontario (Canada)",ON,2003-03-11T03:00:00.000Z,2003,3
49.1055984,-81.0136031,Cochrane (Canada),ON,2012-09-04T22:00:00.000Z,2012,9
49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8
48.4061651,-89.2591414,Thunder Bay (Canada),ON,2014-08-10T04:45:00.000Z,2014,8
47.8209323,-83.3549857,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9
48.7637291,-80.6686591,Iroquois Falls (Canada),ON,2008-02-07T00:10:00.000Z,2008,2
49.1994786,-84.7891164,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6
44.9071092,-78.3792499,Gooderham (Canada),ON,2006-08-20T01:01:00.000Z,2006,8
47.3940148,-79.6870887,Cobalt (Canada),ON,2001-08-14T23:30:00.000Z,2001,8
48.7637291,-80.6686591,Iroquois Falls (Canada),ON,2014-08-09T21:45:00.000Z,2014,8
44.4363439,-81.3866142,Saugeen Shores (Canada),ON,2011-09-03T21:30:00.000Z,2011,9
50.0000002,-86.0,Canada,ON,2006-11-06T00:00:00.000Z,2006,11
50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3
50.097436,-91.9165156,Sioux Lookout (Canada),ON,2007-10-20T20:45:00.000Z,2007,10
48.7637291,-80.6686591,Iroquois Falls (Canada),ON,2010-01-25T01:00:00.000Z,2010,1
48.7637291,-80.6686591,Iroquois Falls (Canada),ON,2007-10-13T01:59:00.000Z,2007,10
50.097436,-91.9165156,Sioux Lookout (Canada),ON,2007-09-15T05:49:00.000Z,2007,9
48.7637291,-80.6686591,Iroquois Falls (Canada),ON,2002-08-12T22:30:00.000Z,2002,8
48.4902991,-81.3342007,Lavigne (Canada),ON,1979-06-15T21:30:00.000Z,1979,6
48.6530506,-93.8267063,Emo (Canada),ON,2005-08-04T23:30:00.000Z,2005,8
49.8581032,-92.7973325,Dryden (Canada),ON,1973-07-05T15:00:00.000Z,1973,7
48.4760636,-81.3283354,Timmins (Canada),ON,2013-09-21T22:30:00.000Z,2013,9
49.51988855,-84.568322602413,Eagle (Canada),ON,2007-10-08T21:00:00.000Z,2007,10
43.2141636,-81.3005688,Granton (Canada),ON,2010-09-11T10:30:00.000Z,2010,9
48.4760636,-81.3283354,Timmins (Canada),ON,2012-08-18T22:30:00.000Z,2012,8
48.4760636,-81.3283354,Timmins (Canada),ON,2013-06-22T23:55:00.000Z,2013,6
45.4782806,-75.5592525,Ottawa (Orleans) (Canada),ON,1990-09-30T18:00:00.000Z,1990,9
49.778224,-86.5396059,Longlac (Canada),ON,2007-06-17T01:00:00.000Z,2007,6
46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6
48.4760636,-81.3283354,Timmins (Canada),ON,2011-07-17T14:38:00.000Z,2011,7
49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10
46.1770206,-77.6945747,Rolphton (Canada),ON,1997-06-01T19:30:00.000Z,1997,6
48.4760636,-81.3283354,Timmins (Canada),ON,2012-07-22T00:30:00.000Z,2012,7
44.1109889,-81.7143373,Bruce Beach (Canada),ON,2013-06-22T22:55:00.000Z,2013,6
49.778224,-86.5396059,Longlac (Canada),ON,2000-04-20T09:30:00.000Z,2000,4
48.4760636,-81.3283354,Timmins (Canada),ON,2012-06-01T02:30:00.000Z,2012,6
49.789617,-93.6748203,Lake Winnange (Canada),ON,2013-08-13T23:20:00.000Z,2013,8
46.0266765,-79.7193879,Restoule (Canada),ON,1999-09-07T23:08:00.000Z,1999,9
48.4760636,-81.3283354,Timmins (Canada),ON,1952-06-15T00:00:00.000Z,1952,6
45.2479889,-78.8928776,Algonquin Highlands (Canada),ON,2014-08-05T22:00:00.000Z,2014,8
48.4760636,-81.3283354,Timmins (Canada),ON,2011-08-14T13:30:00.000Z,2011,8
49.2185794,-84.7741569,Hornepayne (Canada),ON,2012-09-11T21:45:00.000Z,2012,9
49.8581032,-92.7973325,Dryden (Canada),ON,2007-04-16T22:30:00.000Z,2007,4
48.4760636,-81.3283354,Timmins (Canada),ON,2009-11-17T19:00:00.000Z,2009,11
49.8581032,-92.7973325,Dryden (Canada),ON,2013-02-01T09:30:00.000Z,2013,2
45.3264384,-79.2202087,Huntsville (Canada),ON,2014-02-17T04:30:00.000Z,2014,2
48.4760636,-81.3283354,Timmins (Canada),ON,2004-10-20T23:45:00.000Z,2004,10
46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5
48.599401,-93.4421704,Armstrong (Canada),ON,2002-09-15T22:00:00.000Z,2002,9
46.5990787,-81.1823224,Sudbury (Canada),ON,2014-08-10T23:15:00.000Z,2014,8
48.4061651,-89.2591414,Thunder Bay (Canada),ON,2005-02-15T23:20:00.000Z,2005,2
48.4061651,-89.2591414,Thunder Bay (Canada),ON,2014-07-30T22:45:00.000Z,2014,7
49.2185794,-84.7741569,Hornepayne (Canada),ON,2003-08-08T21:00:00.000Z,2003,8
49.8581032,-92.7973325,Dryden (Canada),ON,2012-09-08T00:00:00.000Z,2012,9
48.4061651,-89.2591414,Thunder Bay (Canada),ON,2013-09-08T21:11:00.000Z,2013,9
44.1156917,-81.148928,Kincardine (Canada),ON,2011-01-01T20:45:00.000Z,2011,1
49.8150703,-92.9815933,Oxdrift (Canada),ON,1982-07-01T21:00:00.000Z,1982,7
48.4061651,-89.2591414,Thunder Bay (Canada),ON,1963-11-23T10:00:00.000Z,1963,11
42.9211897,-78.956133,Fort Erie (Canada),ON,2014-06-28T22:30:00.000Z,2014,6
44.4690369,-79.4843773,Oro (Canada),ON,2012-07-01T23:45:00.000Z,2012,7
44.6769117,-81.2553851,Sauble Beach (Canada),ON,2002-08-24T22:10:00.000Z,2002,8
49.73970175,-95.1363316145362,Ontario Province (Canada),ON,2008-07-24T00:00:00.000Z,2008,7
43.4949154,-81.4567404,Staffa (Canada),ON,2001-06-14T23:10:00.000Z,2001,6
46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2008-05-30T09:10:00.000Z,2008,5
